City Code,City,Metro,County,State,Population Rank,Jan. 13,Feb. 13,Mar. 13,Apr. 13,May. 13,Jun. 13,Jul. 13,Aug. 13,Sep. 13,Oct. 13,Nov. 13,Dec. 13,2013 Average,2013 ROC,Jan. 14,Feb. 14,Mar. 14,Apr. 14,May. 14,Jun. 14,Jul. 14,Aug. 14,Sep. 14,Oct. 14,Nov. 14,Dec. 14,2014 Average,2014 ROC,Jan. 15,Feb. 15,Mar. 15,Apr. 15,May. 15,Jun. 15,Jul. 15,Aug. 15,Sep. 15,Oct. 15,Nov. 15,Dec. 15,2015 Average,2015 ROC,Jan. 16,Feb. 16,Mar. 16,Apr. 16,May. 16,Jun. 16,Jul. 16,Aug. 16,Sep. 16,Oct. 16,Nov. 16,Dec. 16,2016 Average,2016 ROC,2013-2016 Average Rents,ROC difference between 2013 & 2016
25290,Jacksonville,Jacksonville,Duval,FL,12,"$1,063.00 ","$1,064.00 ","$1,064.00 ","$1,066.00 ","$1,072.00 ","$1,079.00 ","$1,084.00 ","$1,085.00 ","$1,087.00 ","$1,092.00 ","$1,100.00 ","$1,102.00 ","$1,079.83 ",3.67%,"$1,101.00 ","$1,102.00 ","$1,104.00 ","$1,109.00 ","$1,112.00 ","$1,113.00 ","$1,110.00 ","$1,111.00 ","$1,113.00 ","$1,114.00 ","$1,116.00 ","$1,117.00 ","$1,110.17 ",1.45%,"$1,122.00 ","$1,127.00 ","$1,131.00 ","$1,132.00 ","$1,132.00 ","$1,132.00 ","$1,136.00 ","$1,141.00 ","$1,144.00 ","$1,144.00 ","$1,144.00 ","$1,145.00 ","$1,135.83 ",2.05%,"$1,148.00 ","$1,152.00 ","$1,156.00 ","$1,156.00 ","$1,155.00 ","$1,152.00 ","$1,148.00 ","$1,143.00 ","$1,141.00 ","$1,142.00 ","$1,147.00 ","$1,150.00 ","$1,149.17 ",0.17%,"$1,118.75 ",0.12%
12700,Miami,Miami-Fort Lauderdale,Miami-Dade,FL,42,"$1,761.00 ","$1,776.00 ","$1,786.00 ","$1,796.00 ","$1,800.00 ","$1,809.00 ","$1,815.00 ","$1,824.00 ","$1,840.00 ","$1,860.00 ","$1,885.00 ","$1,913.00 ","$1,822.08 ",8.63%,"$1,935.00 ","$1,947.00 ","$1,959.00 ","$1,964.00 ","$1,969.00 ","$1,966.00 ","$1,971.00 ","$1,977.00 ","$1,985.00 ","$1,993.00 ","$1,999.00 ","$2,003.00 ","$1,972.33 ",3.51%,"$2,007.00 ","$2,011.00 ","$2,019.00 ","$2,030.00 ","$2,048.00 ","$2,074.00 ","$2,101.00 ","$2,129.00 ","$2,147.00 ","$2,159.00 ","$2,158.00 ","$2,154.00 ","$2,086.42 ",7.32%,"$2,150.00 ","$2,144.00 ","$2,147.00 ","$2,154.00 ","$2,162.00 ","$2,165.00 ","$2,160.00 ","$2,148.00 ","$2,134.00 ","$2,118.00 ","$2,107.00 ","$2,096.00 ","$2,140.42 ",-2.51%,"$2,005.31 ",-1.56%
41176,Tampa,Tampa,Hillsborough,FL,53,"$1,161.00 ","$1,159.00 ","$1,159.00 ","$1,161.00 ","$1,165.00 ","$1,170.00 ","$1,173.00 ","$1,176.00 ","$1,182.00 ","$1,189.00 ","$1,196.00 ","$1,200.00 ","$1,174.25 ",3.36%,"$1,201.00 ","$1,202.00 ","$1,203.00 ","$1,204.00 ","$1,201.00 ","$1,197.00 ","$1,195.00 ","$1,196.00 ","$1,202.00 ","$1,207.00 ","$1,215.00 ","$1,223.00 ","$1,203.83 ",1.83%,"$1,230.00 ","$1,236.00 ","$1,240.00 ","$1,244.00 ","$1,247.00 ","$1,254.00 ","$1,264.00 ","$1,273.00 ","$1,278.00 ","$1,278.00 ","$1,279.00 ","$1,282.00 ","$1,258.75 ",4.23%,"$1,289.00 ","$1,296.00 ","$1,303.00 ","$1,306.00 ","$1,310.00 ","$1,311.00 ","$1,310.00 ","$1,308.00 ","$1,306.00 ","$1,305.00 ","$1,304.00 ","$1,302.00 ","$1,304.17 ",1.01%,"$1,235.25 ",39.38%
47945,Tallahassee,Tallahassee,Leon,FL,70,"$1,142.00 ","$1,149.00 ","$1,156.00 ","$1,159.00 ","$1,159.00 ","$1,154.00 ","$1,149.00 ","$1,144.00 ","$1,148.00 ","$1,157.00 ","$1,168.00 ","$1,176.00 ","$1,155.08 ",2.98%,"$1,179.00 ","$1,178.00 ","$1,176.00 ","$1,172.00 ","$1,167.00 ","$1,166.00 ","$1,163.00 ","$1,165.00 ","$1,166.00 ","$1,176.00 ","$1,185.00 ","$1,195.00 ","$1,174.00 ",1.36%,"$1,199.00 ","$1,198.00 ","$1,197.00 ","$1,199.00 ","$1,205.00 ","$1,210.00 ","$1,215.00 ","$1,216.00 ","$1,214.00 ","$1,209.00 ","$1,207.00 ","$1,209.00 ","$1,206.50 ",0.83%,"$1,208.00 ","$1,207.00 ","$1,205.00 ","$1,204.00 ","$1,201.00 ","$1,200.00 ","$1,198.00 ","$1,201.00 ","$1,202.00 ","$1,204.00 ","$1,203.00 ","$1,202.00 ","$1,202.92 ",-0.50%,"$1,184.63 ",-24.82%
13121,Orlando,Orlando,Orange,FL,83,"$1,086.00 ","$1,094.00 ","$1,102.00 ","$1,107.00 ","$1,113.00 ","$1,123.00 ","$1,134.00 ","$1,145.00 ","$1,152.00 ","$1,157.00 ","$1,157.00 ","$1,156.00 ","$1,127.17 ",6.45%,"$1,151.00 ","$1,147.00 ","$1,143.00 ","$1,141.00 ","$1,137.00 ","$1,134.00 ","$1,136.00 ","$1,142.00 ","$1,152.00 ","$1,161.00 ","$1,171.00 ","$1,178.00 ","$1,149.42 ",2.35%,"$1,187.00 ","$1,193.00 ","$1,200.00 ","$1,206.00 ","$1,209.00 ","$1,210.00 ","$1,211.00 ","$1,215.00 ","$1,220.00 ","$1,225.00 ","$1,228.00 ","$1,234.00 ","$1,211.50 ",3.96%,"$1,242.00 ","$1,250.00 ","$1,260.00 ","$1,267.00 ","$1,274.00 ","$1,278.00 ","$1,281.00 ","$1,281.00 ","$1,280.00 ","$1,279.00 ","$1,280.00 ","$1,282.00 ","$1,271.17 ",3.22%,"$1,189.81 ",24.16%
26922,Saint Petersburg,Tampa,Pinellas,FL,85,"$1,077.00 ","$1,083.00 ","$1,088.00 ","$1,092.00 ","$1,096.00 ","$1,104.00 ","$1,113.00 ","$1,123.00 ","$1,130.00 ","$1,135.00 ","$1,134.00 ","$1,131.00 ","$1,108.83 ",5.01%,"$1,127.00 ","$1,130.00 ","$1,135.00 ","$1,140.00 ","$1,143.00 ","$1,144.00 ","$1,150.00 ","$1,160.00 ","$1,174.00 ","$1,185.00 ","$1,194.00 ","$1,200.00 ","$1,156.83 ",6.48%,"$1,204.00 ","$1,208.00 ","$1,209.00 ","$1,208.00 ","$1,210.00 ","$1,218.00 ","$1,224.00 ","$1,232.00 ","$1,237.00 ","$1,242.00 ","$1,248.00 ","$1,253.00 ","$1,224.42 ",4.07%,"$1,262.00 ","$1,270.00 ","$1,277.00 ","$1,281.00 ","$1,287.00 ","$1,292.00 ","$1,296.00 ","$1,296.00 ","$1,298.00 ","$1,300.00 ","$1,304.00 ","$1,307.00 ","$1,289.17 ",3.57%,"$1,194.81 ",58.47%
53856,Pensacola,Pensacola,Escambia,FL,86,$860.00 ,$859.00 ,$862.00 ,$867.00 ,$872.00 ,$874.00 ,$874.00 ,$874.00 ,$874.00 ,$874.00 ,$875.00 ,$878.00 ,$870.25 ,2.09%,$881.00 ,$883.00 ,$887.00 ,$892.00 ,$897.00 ,$902.00 ,$908.00 ,$916.00 ,$927.00 ,$937.00 ,$947.00 ,$955.00 ,$911.00 ,8.40%,$959.00 ,$956.00 ,$953.00 ,$948.00 ,$946.00 ,$947.00 ,$951.00 ,$954.00 ,$954.00 ,$956.00 ,$958.00 ,$959.00 ,$953.42 ,0.00%,$963.00 ,$966.00 ,$976.00 ,$985.00 ,$992.00 ,$995.00 ,$992.00 ,$988.00 ,$983.00 ,$974.00 ,$965.00 ,$957.00 ,$978.00 ,-0.62%,$928.17 ,54.17%
25104,Hialeah,Miami-Fort Lauderdale,Miami-Dade,FL,94,"$1,460.00 ","$1,470.00 ","$1,479.00 ","$1,491.00 ","$1,494.00 ","$1,502.00 ","$1,504.00 ","$1,511.00 ","$1,525.00 ","$1,546.00 ","$1,569.00 ","$1,583.00 ","$1,511.17 ",8.42%,"$1,583.00 ","$1,578.00 ","$1,575.00 ","$1,576.00 ","$1,579.00 ","$1,582.00 ","$1,593.00 ","$1,604.00 ","$1,615.00 ","$1,616.00 ","$1,623.00 ","$1,621.00 ","$1,595.42 ",2.40%,"$1,623.00 ","$1,624.00 ","$1,631.00 ","$1,638.00 ","$1,648.00 ","$1,658.00 ","$1,670.00 ","$1,682.00 ","$1,692.00 ","$1,699.00 ","$1,707.00 ","$1,717.00 ","$1,665.75 ",5.79%,"$1,732.00 ","$1,749.00 ","$1,761.00 ","$1,766.00 ","$1,770.00 ","$1,774.00 ","$1,782.00 ","$1,784.00 ","$1,785.00 ","$1,784.00 ","$1,786.00 ","$1,786.00 ","$1,771.58 ",3.12%,"$1,635.98 ",17.36%
31614,Fort Myers,Fort Myers,Lee,FL,98,"$1,150.00 ","$1,153.00 ","$1,158.00 ","$1,164.00 ","$1,176.00 ","$1,188.00 ","$1,204.00 ","$1,222.00 ","$1,240.00 ","$1,258.00 ","$1,274.00 ","$1,289.00 ","$1,206.33 ",12.09%,"$1,315.00 ","$1,351.00 ","$1,390.00 ","$1,414.00 ","$1,426.00 ","$1,428.00 ","$1,427.00 ","$1,427.00 ","$1,436.00 ","$1,443.00 ","$1,450.00 ","$1,456.00 ","$1,413.58 ",10.72%,"$1,463.00 ","$1,474.00 ","$1,482.00 ","$1,489.00 ","$1,493.00 ","$1,495.00 ","$1,494.00 ","$1,497.00 ","$1,500.00 ","$1,511.00 ","$1,525.00 ","$1,539.00 ","$1,496.83 ",5.19%,"$1,550.00 ","$1,552.00 ","$1,547.00 ","$1,540.00 ","$1,541.00 ","$1,548.00 ","$1,552.00 ","$1,552.00 ","$1,552.00 ","$1,554.00 ","$1,558.00 ","$1,564.00 ","$1,550.83 ",0.90%,"$1,416.90 ",16.90%
10477,Boca Raton,Miami-Fort Lauderdale,Palm Beach,FL,114,"$1,886.00 ","$1,895.00 ","$1,899.00 ","$1,903.00 ","$1,900.00 ","$1,912.00 ","$1,921.00 ","$1,931.00 ","$1,942.00 ","$1,950.00 ","$1,959.00 ","$1,967.00 ","$1,922.08 ",4.29%,"$1,973.00 ","$1,979.00 ","$1,992.00 ","$2,008.00 ","$2,023.00 ","$2,026.00 ","$2,034.00 ","$2,041.00 ","$2,058.00 ","$2,073.00 ","$2,086.00 ","$2,099.00 ","$2,032.67 ",6.39%,"$2,105.00 ","$2,114.00 ","$2,121.00 ","$2,129.00 ","$2,138.00 ","$2,147.00 ","$2,156.00 ","$2,168.00 ","$2,174.00 ","$2,180.00 ","$2,189.00 ","$2,205.00 ","$2,152.17 ",4.75%,"$2,231.00 ","$2,248.00 ","$2,261.00 ","$2,257.00 ","$2,257.00 ","$2,257.00 ","$2,257.00 ","$2,253.00 ","$2,249.00 ","$2,247.00 ","$2,246.00 ","$2,244.00 ","$2,250.58 ",0.58%,"$2,089.38 ",48.11%
